distance,bank_angle
289.940951,-0.196741
290.940748,-0.197339
291.940544,-0.197939
292.94034,-0.198541
293.940137,-0.199144
294.939933,-0.199748
295.93973,-0.200354
296.939526,-0.200961
297.939322,-0.201569
298.939119,-0.202178
299.938915,-0.202788
300.938711,-0.203399
301.938508,-0.20401
302.938304,-0.204623
303.938101,-0.205235
304.937897,-0.205849
305.937693,-0.206462
306.93749,-0.207077
307.937286,-0.207691
308.937082,-0.208305
309.936879,-0.20892
310.936675,-0.209535
311.936472,-0.21015
312.936268,-0.210765
313.936064,-0.211379
314.935861,-0.211994
315.935657,-0.212609
316.935454,-0.213223
317.93525,-0.213837
318.935046,-0.214452
319.934843,-0.215066
320.934639,-0.21568
321.934435,-0.216293
322.934232,-0.216907
323.934028,-0.217521
324.933825,-0.218134
325.933621,-0.218748
326.933417,-0.219362
327.933214,-0.219976
328.93301,-0.22059
329.932807,-0.221204
330.932603,-0.221819
331.932399,-0.222433
332.932196,-0.223048
333.931992,-0.223664
334.931788,-0.22428
335.931585,-0.224896
336.931381,-0.225513
337.931178,-0.226131
338.930974,-0.226748
339.93077,-0.227367
340.930567,-0.227986
341.930363,-0.228606
342.93016,-0.229226
343.929956,-0.229847
344.929752,-0.230469
345.929549,-0.231091
346.929345,-0.231714
347.929141,-0.232337
348.928938,-0.232962
349.928734,-0.233587
350.928531,-0.234212
351.928327,-0.234839
352.928123,-0.235466
353.92792,-0.236094
354.927716,-0.236723
355.927513,-0.237353
356.927309,-0.237983
357.927105,-0.238614
358.926902,-0.239247
359.926698,-0.23988
360.926494,-0.240513
361.926291,-0.241148
362.926087,-0.241784
363.925884,-0.24242
364.92568,-0.243058
365.925476,-0.243696
366.925273,-0.244335
367.925069,-0.244976
368.924866,-0.245617
369.924662,-0.246259
370.924458,-0.246902
371.924255,-0.247546
372.924051,-0.248191
373.923847,-0.248837
374.923644,-0.249484
375.92344,-0.250131
376.923237,-0.25078
377.923033,-0.251429
378.922829,-0.252079
379.922626,-0.25273
380.922422,-0.253382
381.922218,-0.254034
382.922015,-0.254687
383.921811,-0.25534
384.921608,-0.255994
385.921404,-0.256648
386.9212,-0.257302
387.920997,-0.257955
388.920793,-0.258609
389.92059,-0.259263
390.920386,-0.259916
391.920182,-0.260568
392.919979,-0.261219
393.919775,-0.261869
394.919571,-0.262518
395.919368,-0.263165
396.919164,-0.263811
397.918961,-0.264454
398.918757,-0.265096
399.918553,-0.265735
400.91835,-0.266372
401.918146,-0.267006
402.917943,-0.267637
403.917739,-0.268266
404.917535,-0.268891
405.917332,-0.269514
406.917128,-0.270133
407.916924,-0.270749
408.916721,-0.271362
409.916517,-0.271971
410.916314,-0.272576
411.91611,-0.273178
412.915906,-0.273775
413.915703,-0.274369
414.915499,-0.274959
415.915296,-0.275544
416.915092,-0.276124
417.914888,-0.2767
418.914685,-0.277271
419.914481,-0.277837
420.914277,-0.278398
421.914074,-0.278954
422.91387,-0.279503
423.913667,-0.280048
424.913463,-0.280586
425.913259,-0.281118
426.913056,-0.281644
427.912852,-0.282164
428.912649,-0.282678
429.912445,-0.283185
430.912241,-0.283686
431.912038,-0.28418
432.911834,-0.284667
433.91163,-0.285149
434.911427,-0.285623
435.911223,-0.286091
436.91102,-0.286553
437.910816,-0.287008
438.910612,-0.287457
439.910409,-0.2879
440.910205,-0.288336
441.910002,-0.288766
442.909798,-0.28919
443.909594,-0.289608
444.909391,-0.290019
445.909187,-0.290425
446.908983,-0.290825
447.90878,-0.291218
448.908576,-0.291605
449.908373,-0.291987
450.908169,-0.292361
451.907965,-0.29273
452.907762,-0.293092
453.907558,-0.293448
454.907354,-0.293797
455.907151,-0.294139
456.906947,-0.294474
457.906744,-0.294803
458.90654,-0.295124
459.906336,-0.295438
460.906133,-0.295745
461.905929,-0.296044
462.905726,-0.296336
463.905522,-0.296621
464.905318,-0.296898
465.905115,-0.297168
466.904911,-0.29743
467.904707,-0.297685
468.904504,-0.297932
469.9043,-0.298171
470.904097,-0.298403
471.903893,-0.298627
472.903689,-0.298844
473.903486,-0.299053
474.903282,-0.299254
475.903079,-0.299448
476.902875,-0.299635
477.902671,-0.299814
478.902468,-0.299986
479.902264,-0.30015
480.90206,-0.300308
481.901857,-0.30046
482.901653,-0.300604
483.90145,-0.300743
484.901246,-0.300877
485.901042,-0.301005
486.900839,-0.301128
487.900635,-0.301247
488.900432,-0.301362
489.900228,-0.301474
490.900024,-0.301583
491.899821,-0.30169
492.899617,-0.301795
493.899413,-0.301899
494.89921,-0.302002
495.899006,-0.302105
496.898803,-0.302207
497.898599,-0.30231
498.898395,-0.302413
499.898192,-0.302517
500.897988,-0.302621
501.897785,-0.302726
502.897581,-0.302832
503.897377,-0.302938
504.897174,-0.303044
505.89697,-0.303151
506.896766,-0.303257
507.896563,-0.303363
508.896359,-0.303469
509.896156,-0.303573
510.895952,-0.303677
511.895748,-0.303778
512.895545,-0.303878
513.895341,-0.303976
514.895137,-0.30407
515.894934,-0.304162
516.89473,-0.304251
517.894527,-0.304336
518.894323,-0.304417
519.894119,-0.304493
520.893916,-0.304566
521.893712,-0.304633
522.893509,-0.304696
523.893305,-0.304754
524.893101,-0.304807
525.892898,-0.304855
526.892694,-0.304898
527.89249,-0.304935
528.892287,-0.304968
529.892083,-0.304996
530.89188,-0.305019
531.891676,-0.305038
532.891472,-0.305052
533.891269,-0.305063
534.891065,-0.305071
535.890862,-0.305075
536.890658,-0.305077
537.890454,-0.305076
538.890251,-0.305074
539.890047,-0.305071
540.889843,-0.305066
541.88964,-0.305061
542.889436,-0.305056
543.889233,-0.305051
544.889029,-0.305047
545.888825,-0.305043
546.888622,-0.305041
547.888418,-0.30504
548.888215,-0.305039
549.888011,-0.305041
550.887807,-0.305043
551.887604,-0.305047
552.8874,-0.305052
553.887196,-0.305058
554.886993,-0.305065
555.886789,-0.305073
556.886586,-0.305081
557.886382,-0.305089
558.886178,-0.305096
559.885975,-0.305104
560.885771,-0.30511
561.885568,-0.305115
562.885364,-0.305119
563.88516,-0.305121
564.884957,-0.305121
565.884753,-0.305119
566.884549,-0.305113
567.884346,-0.305105
568.884142,-0.305094
569.883939,-0.305079
570.883735,-0.305061
571.883531,-0.305039
572.883328,-0.305012
573.883124,-0.304982
574.882921,-0.304948
575.882717,-0.30491
576.882513,-0.304868
577.88231,-0.304823
578.882106,-0.304773
579.881902,-0.30472
580.881699,-0.304663
581.881495,-0.304604
582.881292,-0.304541
583.881088,-0.304476
584.880884,-0.304409
585.880681,-0.304341
586.880477,-0.304271
587.880273,-0.3042
588.88007,-0.304128
589.879866,-0.304056
590.879663,-0.303985
591.879459,-0.303913
592.879255,-0.303843
593.879052,-0.303774
594.878848,-0.303706
595.878645,-0.30364
596.878441,-0.303575
597.878237,-0.303512
598.878034,-0.30345
599.87783,-0.303391
600.877626,-0.303334
601.877423,-0.303279
602.877219,-0.303225
603.877016,-0.303174
604.876812,-0.303125
605.876608,-0.303079
606.876405,-0.303034
607.876201,-0.302991
608.875998,-0.302951
609.875794,-0.302913
610.87559,-0.302878
611.875387,-0.302844
612.875183,-0.302814
613.874979,-0.302786
614.874776,-0.302761
615.874572,-0.302739
616.874369,-0.302719
617.874165,-0.302703
618.873961,-0.30269
619.873758,-0.30268
620.873554,-0.302673
621.873351,-0.302669
622.873147,-0.302669
623.872943,-0.302672
624.87274,-0.302679
625.872536,-0.302689
626.872332,-0.302702
627.872129,-0.302718
628.871925,-0.302737
629.871722,-0.302759
630.871518,-0.302784
631.871314,-0.302812
632.871111,-0.302842
633.870907,-0.302874
634.870704,-0.302909
635.8705,-0.302945
636.870296,-0.302982
637.870093,-0.303021
638.869889,-0.303061
639.869685,-0.303101
640.869482,-0.303141
641.869278,-0.303182
642.869075,-0.303222
643.868871,-0.303262
644.868667,-0.303301
645.868464,-0.303339
646.86826,-0.303375
647.868057,-0.303411
648.867853,-0.303445
649.867649,-0.303477
650.867446,-0.303507
651.867242,-0.303535
652.867038,-0.303561
653.866835,-0.303585
654.866631,-0.303607
655.866428,-0.303627
656.866224,-0.303645
657.86602,-0.30366
658.865817,-0.303674
659.865613,-0.303686
660.865409,-0.303697
661.865206,-0.303705
662.865002,-0.303713
663.864799,-0.303719
664.864595,-0.303724
665.864391,-0.303729
666.864188,-0.303732
667.863984,-0.303736
668.863781,-0.303738
669.863577,-0.303741
670.863373,-0.303744
671.86317,-0.303747
672.862966,-0.303751
673.862762,-0.303754
674.862559,-0.303759
675.862355,-0.303764
676.862152,-0.303771
677.861948,-0.303778
678.861744,-0.303785
679.861541,-0.303794
680.861337,-0.303804
681.861134,-0.303814
682.86093,-0.303825
683.860726,-0.303837
684.860523,-0.303849
685.860319,-0.303862
686.860115,-0.303874
687.859912,-0.303887
688.859708,-0.3039
689.859505,-0.303913
690.859301,-0.303925
691.859097,-0.303937
692.858894,-0.303949
693.85869,-0.303959
694.858487,-0.303969
695.858283,-0.303977
696.858079,-0.303984
697.857876,-0.30399
698.857672,-0.303994
699.857468,-0.303997
700.857265,-0.303998
701.857061,-0.303997
702.856858,-0.303994
703.856654,-0.303989
704.85645,-0.303982
705.856247,-0.303973
706.856043,-0.303962
707.85584,-0.303949
708.855636,-0.303934
709.855432,-0.303916
710.855229,-0.303897
711.855025,-0.303876
712.854821,-0.303852
713.854618,-0.303827
714.854414,-0.3038
715.854211,-0.303771
716.854007,-0.303741
717.853803,-0.303709
718.8536,-0.303675
719.853396,-0.30364
720.853192,-0.303603
721.852989,-0.303564
722.852785,-0.303525
723.852582,-0.303483
724.852378,-0.303441
725.852174,-0.303396
726.851971,-0.30335
727.851767,-0.303303
728.851564,-0.303254
729.85136,-0.303203
730.851156,-0.303151
731.850953,-0.303096
732.850749,-0.30304
733.850545,-0.302982
734.850342,-0.302921
735.850138,-0.302859
736.849935,-0.302794
737.849731,-0.302727
738.849527,-0.302657
739.849324,-0.302586
740.84912,-0.302512
741.848917,-0.302436
742.848713,-0.302357
743.848509,-0.302276
744.848306,-0.302194
745.848102,-0.302109
746.847898,-0.302023
747.847695,-0.301935
748.847491,-0.301846
749.847288,-0.301756
750.847084,-0.301665
751.84688,-0.301574
752.846677,-0.301483
753.846473,-0.301392
754.84627,-0.301301
755.846066,-0.301212
756.845862,-0.301123
757.845659,-0.301037
758.845455,-0.300952
759.845251,-0.300869
760.845048,-0.300789
761.844844,-0.300711
762.844641,-0.300636
763.844437,-0.300564
764.844233,-0.300495
765.84403,-0.300429
766.843826,-0.300366
767.843623,-0.300306
768.843419,-0.300249
769.843215,-0.300194
770.843012,-0.300142
771.842808,-0.300092
772.842604,-0.300044
773.842401,-0.299998
774.842197,-0.299953
775.841994,-0.299909
776.84179,-0.299866
777.841586,-0.299823
778.841383,-0.29978
779.841179,-0.299736
780.840976,-0.299691
