x,y,z,bank_angle
623.053697,-59.754637,-0.030681,0.000091
622.217634,-54.541299,-0.030553,0.000094
621.299184,-49.114155,-0.030417,0.000095
620.138120,-43.720506,-0.030267,0.000095
618.903665,-38.236973,-0.030112,0.000094
617.555381,-32.638775,-0.029948,0.000094
616.788387,-29.883147,-0.029861,0.000077
614.760115,-23.424758,-0.029642,0.000079
612.486205,-16.608678,-0.029403,0.000077
610.168871,-9.871948,-0.029162,0.000076
609.336029,-7.736117,-0.029080,0.000058
607.273440,-2.950669,-0.028882,0.000072
604.915778,2.367437,-0.028659,0.000080
602.075811,8.615845,-0.028392,0.000081
598.678715,15.076734,-0.028089,0.000081
595.244193,21.352293,-0.027786,0.000082
591.821666,27.468050,-0.027487,0.000084
587.675779,33.748929,-0.027140,0.000085
583.712635,39.604974,-0.026810,0.000088
579.824390,45.226868,-0.026488,0.000090
578.281685,47.314935,-0.026363,0.000081
576.718017,49.353063,-0.026237,0.000063
573.231240,53.642924,-0.025961,0.000067
569.972128,57.582306,-0.025703,0.000075
566.474881,61.716619,-0.025428,0.000080
564.623673,63.758799,-0.025285,0.000059
560.480944,68.072483,-0.024968,0.000064
556.610809,72.020709,-0.024672,0.000072
553.272370,75.393382,-0.024418,0.000082
552.083178,76.533199,-0.024329,0.000074
550.455159,78.036245,-0.024207,0.000056
545.539669,82.305313,-0.023843,0.000058
540.064049,86.899688,-0.023439,0.000054
534.730721,91.254368,-0.023047,0.000053
529.499275,95.042350,-0.022670,0.000052
524.775556,98.368526,-0.022330,0.000057
520.146196,101.558395,-0.021998,0.000064
518.158770,102.841141,-0.021857,0.000043
513.583360,105.586382,-0.021536,0.000052
508.768325,108.435741,-0.021198,0.000057
503.466553,111.468921,-0.020828,0.000059
500.763259,112.907734,-0.020641,0.000032
494.967290,115.754086,-0.020244,0.000032
489.541251,118.335602,-0.019873,0.000036
483.968447,120.914522,-0.019493,0.000039
477.988311,123.229308,-0.019091,0.000045
472.202873,125.414451,-0.018703,0.000053
466.405459,127.550766,-0.018316,0.000059
464.188940,128.290847,-0.018169,0.000042
458.647653,129.917442,-0.017805,0.000041
453.046465,131.488364,-0.017437,0.000041
447.009469,133.089043,-0.017042,0.000036
441.360382,134.271375,-0.016677,0.000035
435.468682,135.430392,-0.016297,0.000033
429.609936,136.494715,-0.015921,0.000031
423.271963,137.351130,-0.015519,0.000030
417.381786,138.076434,-0.015147,0.000034
412.089165,138.669893,-0.014813,0.000042
409.986500,138.838105,-0.014681,0.000026
407.838908,138.975058,-0.014547,0.000007
401.438068,139.160091,-0.014150,0.000019
395.198976,139.260238,-0.013763,0.000032
388.952397,139.337265,-0.013377,0.000043
386.951578,139.319975,-0.013254,0.000029
384.968731,139.309344,-0.013134,0.000013
382.857092,139.226945,-0.013006,-0.000004
376.465268,138.701020,-0.012620,0.000011
369.654115,138.094068,-0.012209,0.000022
362.652767,137.410166,-0.011788,0.000032
359.353529,136.987216,-0.011592,0.000007
351.862480,135.732901,-0.011153,0.000002
337.494404,132.994232,-0.010337,0.000019
321.603259,129.886893,-0.009446,0.000027
301.761404,125.806946,-0.008400,0.000033
287.592495,122.883765,-0.007687,0.000019
268.273279,118.905817,-0.006767,0.000026
250.918914,115.317687,-0.006009,0.000022
232.790275,111.563830,-0.005242,0.000016
217.664342,108.414346,-0.004648,0.000015
209.159369,106.654449,-0.004330,0.000013
202.939758,105.375686,-0.004103,0.000021
200.829615,104.936178,-0.004029,0.000012
198.604155,104.454128,-0.003952,0.000002
196.354734,103.933053,-0.003875,-0.000007
189.410273,102.231848,-0.003644,0.000003
182.395423,100.495501,-0.003412,0.000014
175.379076,98.747502,-0.003182,0.000022
173.047285,98.135246,-0.003107,0.000015
170.574717,97.453999,-0.003030,0.000006
164.985601,95.778547,-0.002861,0.000008
159.152373,94.000072,-0.002687,0.000009
152.863868,92.032378,-0.002502,0.000010
148.938609,90.714305,-0.002392,-0.000004
139.491617,87.312044,-0.002139,-0.000003
130.243807,83.894809,-0.001897,-0.000001
117.118647,78.698976,-0.001573,0.000010
109.242650,75.332831,-0.001393,0.000008
101.487958,71.932659,-0.001220,0.000006
94.856476,68.756495,-0.001087,0.000005
88.545484,65.673185,-0.000963,0.000006
81.204123,61.985059,-0.000826,0.000005
73.663570,57.916298,-0.000701,0.000003
65.886388,53.635947,-0.000577,0.000000
57.137238,48.597269,-0.000450,0.000004
51.822148,45.388407,-0.000380,0.000002
44.557135,40.831013,-0.000295,0.000004
39.003913,37.215436,-0.000237,0.000002
31.368973,32.057309,-0.000167,0.000002
25.249634,27.745375,-0.000120,0.000000
16.036166,20.956858,-0.000068,0.000000
7.538557,14.406021,-0.000035,0.000000
