x,y,z,bank_angle
490.918082,-325.329532,-0.027200,0.000090
498.527003,-318.712269,-0.027455,0.000090
506.058068,-311.995427,-0.027714,0.000090
513.504090,-305.170326,-0.027977,0.000090
520.857879,-298.228290,-0.028244,0.000091
528.112167,-291.160707,-0.028512,0.000091
535.258557,-283.959900,-0.028782,0.000092
542.286305,-276.619879,-0.029051,0.000092
549.179976,-269.137074,-0.029318,0.000093
555.919786,-261.509690,-0.029582,0.000093
562.482827,-253.736957,-0.029840,0.000094
568.845489,-245.818330,-0.030091,0.000095
574.984162,-237.753268,-0.030331,0.000096
580.875235,-229.541227,-0.030559,0.000096
586.495096,-221.181663,-0.030773,0.000097
591.820136,-212.674034,-0.030971,0.000097
596.826744,-204.017796,-0.031151,0.000098
601.491308,-195.212406,-0.031310,0.000098
605.790219,-186.257322,-0.031447,0.000098
609.699865,-177.151999,-0.031559,0.000098
613.197365,-167.896381,-0.031645,0.000098
616.264346,-158.493418,-0.031702,0.000097
618.562781,-150.575520,-0.031732,0.000102
620.488364,-142.545283,-0.031738,0.000102
622.036885,-134.412946,-0.031718,0.000098
623.533438,-124.566606,-0.031670,0.000098
624.578323,-114.631008,-0.031591,0.000097
625.176888,-104.627563,-0.031484,0.000097
625.334485,-94.577685,-0.031348,0.000096
625.056466,-84.502788,-0.031185,0.000096
624.348183,-74.424287,-0.030994,0.000095
623.214988,-64.363594,-0.030777,0.000094
621.662234,-54.342124,-0.030535,0.000093
619.695271,-44.381292,-0.030267,0.000092
617.319453,-34.502510,-0.029976,0.000092
614.540132,-24.727194,-0.029661,0.000091
611.362658,-15.076756,-0.029323,0.000090
607.792385,-5.572612,-0.028964,0.000089
604.565097,2.244844,-0.028650,0.000085
601.017900,9.908749,-0.028319,0.000076
597.155208,17.401364,-0.027971,0.000064
592.251933,26.225168,-0.027540,0.000064
586.983066,34.810971,-0.027091,0.000065
581.357697,43.142336,-0.026624,0.000065
575.385394,51.203460,-0.026139,0.000066
569.075727,58.978545,-0.025638,0.000066
562.438270,66.451797,-0.025121,0.000067
555.482593,73.607418,-0.024589,0.000067
548.218269,80.429611,-0.024042,0.000068
540.654910,86.902641,-0.023482,0.000068
532.803408,93.012697,-0.022908,0.000068
524.677381,98.750059,-0.022323,0.000067
516.293211,104.109167,-0.021726,0.000067
507.668805,109.086750,-0.021120,0.000066
498.822154,113.679663,-0.020506,0.000065
489.771245,117.884758,-0.019884,0.000064
482.114518,121.166677,-0.019362,0.000052
474.313416,124.119187,-0.018836,0.000038
466.382753,126.739274,-0.018306,0.000024
456.758139,129.557627,-0.017667,0.000024
447.013443,131.977344,-0.017027,0.000024
437.170436,133.999831,-0.016388,0.000024
427.250916,135.626528,-0.015750,0.000024
417.276665,136.858887,-0.015115,0.000024
407.268259,137.699309,-0.014486,0.000023
397.243051,138.152724,-0.013863,0.000023
387.214258,138.229065,-0.013248,0.000023
377.189457,137.950794,-0.012641,0.000023
367.171998,137.353236,-0.012044,0.000023
357.161937,136.482090,-0.011457,0.000023
347.158722,135.384949,-0.010882,0.000023
337.162041,134.105582,-0.010320,0.000023
327.172343,132.675673,-0.009770,0.000023
317.190907,131.113767,-0.009234,0.000023
307.219596,129.429077,-0.008712,0.000023
297.260344,127.629731,-0.008203,0.000023
287.315082,125.723862,-0.007709,0.000023
277.385745,123.719601,-0.007230,0.000022
267.474263,121.625077,-0.006766,0.000022
257.582570,119.448422,-0.006317,0.000022
247.712604,117.197029,-0.005883,0.000022
237.866321,114.874270,-0.005466,0.000022
229.677327,112.906520,-0.005128,0.000014
221.509939,110.871143,-0.004803,0.000006
213.365793,108.763055,-0.004491,-0.000002
203.615354,106.149168,-0.004128,-0.000001
193.898976,103.441123,-0.003781,-0.000001
184.220282,100.632009,-0.003449,-0.000000
174.583030,97.714895,-0.003133,0.000000
164.990981,94.682848,-0.002833,0.000000
155.447893,91.528937,-0.002548,0.000001
145.957526,88.246230,-0.002278,0.000001
136.523638,84.827794,-0.002024,0.000001
127.149990,81.266698,-0.001786,0.000001
117.840339,77.556009,-0.001562,0.000001
108.598446,73.688797,-0.001354,0.000001
99.428069,69.658128,-0.001162,0.000001
90.332969,65.457072,-0.000984,0.000001
81.317035,61.078863,-0.000822,0.000001
72.385263,56.518126,-0.000675,0.000001
63.544177,51.771419,-0.000543,0.000001
54.801703,46.837067,-0.000426,0.000000
46.166199,41.713941,-0.000325,0.000000
37.646026,36.400914,-0.000238,0.000000
29.249544,30.896858,-0.000167,0.000000
20.985112,25.200646,-0.000111,-0.000000
12.861092,19.311150,-0.000070,-0.000000
4.885843,13.227245,-0.000044,-0.000000
