x,y,height,bank_angle
175.386995,-583.403873,21.019309,-0.284712
181.054747,-581.356261,21.006851,-0.281252
186.666261,-579.163189,20.996513,-0.277253
192.206762,-576.795819,20.997753,-0.272693
197.685685,-574.284425,21.016959,-0.267595
203.112057,-571.660603,21.062312,-0.262009
208.460836,-568.888183,21.116374,-0.255987
213.706717,-565.928964,21.163488,-0.249587
218.868751,-562.819743,21.192776,-0.242879
223.998857,-559.653452,21.207244,-0.234761
229.094821,-556.435374,21.202013,-0.227635
234.114342,-553.105991,21.169642,-0.220416
239.022080,-549.615324,21.111167,-0.213147
243.832649,-545.985896,21.047144,-0.205862
248.591909,-542.285402,21.014591,-0.198595
253.321077,-538.548638,21.027760,-0.191379
257.986261,-534.736905,21.061670,-0.184239
262.548419,-530.804229,21.079953,-0.177190
267.015220,-526.759838,21.069106,-0.170246
271.435322,-522.661404,21.033905,-0.163423
275.844958,-518.552666,20.981377,-0.156745
280.222830,-514.413000,20.925315,-0.150229
284.532834,-510.205114,20.881222,-0.143897
288.756846,-505.910287,20.855226,-0.137770
292.904945,-501.539502,20.843955,-0.131878
296.998213,-497.114819,20.835060,-0.126246
301.055270,-492.655758,20.818907,-0.120897
305.092868,-488.179897,20.786709,-0.115851
309.111968,-483.689002,20.738021,-0.111129
313.106160,-479.177433,20.676357,-0.106749
317.068881,-474.639358,20.605343,-0.102713
320.993429,-470.068783,20.528716,-0.099018
324.875843,-465.462090,20.450179,-0.095649
328.723459,-460.825557,20.373255,-0.092590
332.546558,-456.168017,20.301424,-0.089823
336.355445,-451.498298,20.238165,-0.087338
340.160443,-446.825218,20.186956,-0.085129
343.969631,-442.155699,20.150401,-0.083197
347.779931,-437.487322,20.126776,-0.081547
351.586096,-432.815804,20.112537,-0.080178
355.378861,-428.133603,20.105605,-0.079085
359.153091,-423.436502,20.102382,-0.078250
362.904116,-418.720668,20.100128,-0.077650
366.637590,-413.990662,20.098130,-0.077254
370.362033,-409.253367,20.096237,-0.077028
374.085968,-404.515667,20.094301,-0.076941
377.817910,-399.784436,20.092169,-0.076973
381.563495,-395.064226,20.089465,-0.077082
385.321405,-390.353976,20.085262,-0.077238
389.089295,-385.651796,20.078553,-0.077416
392.864819,-380.955794,20.068331,-0.077593
396.645630,-376.264079,20.053589,-0.077750
400.429376,-371.574756,20.033325,-0.077870
404.213172,-366.885485,20.007299,-0.077948
407.993040,-362.193019,19.976815,-0.077988
411.764874,-357.494004,19.943361,-0.078006
415.524513,-352.785047,19.908437,-0.078026
419.270278,-348.064774,19.874297,-0.078079
423.010031,-343.339564,19.845943,-0.078189
426.753553,-338.617362,19.829035,-0.078373
430.510333,-333.905877,19.829253,-0.078630
434.288847,-329.211999,19.851256,-0.078941
438.086708,-324.533798,19.888663,-0.079276
441.894872,-319.863944,19.928332,-0.079603
445.704200,-315.195026,19.957024,-0.079893
449.505583,-310.519656,19.961535,-0.080133
453.294910,-305.834500,19.936151,-0.080316
457.079048,-301.145127,19.891580,-0.080445
460.866320,-296.458284,19.840714,-0.080528
464.665043,-291.780714,19.796437,-0.080577
468.480012,-287.116307,19.768425,-0.080604
472.306329,-282.461092,19.757527,-0.080624
476.137442,-277.809765,19.763088,-0.080655
479.966802,-273.157019,19.784453,-0.080719
483.788114,-268.497755,19.820638,-0.080838
487.598929,-263.829986,19.865694,-0.081038
491.399772,-259.154133,19.909831,-0.081347
495.191247,-254.470681,19.943159,-0.081791
498.973997,-249.780149,19.955917,-0.082393
502.749619,-245.083825,19.945624,-0.083175
506.521180,-240.384189,19.921175,-0.084153
510.291873,-235.683822,19.892451,-0.085337
514.064886,-230.985303,19.869320,-0.087248
519.706934,-223.955574,19.866673,-0.089539
523.484892,-219.261063,19.871317,-0.091500
527.265626,-214.568819,19.890747,-0.093661
531.048297,-209.878185,19.925560,-0.096016
534.829833,-205.186726,19.972189,-0.098559
538.602604,-200.488376,20.019215,-0.101288
542.358121,-195.776396,20.054320,-0.104203
546.087911,-191.044074,20.065313,-0.107305
549.786651,-186.287259,20.050952,-0.110599
553.454486,-181.506252,20.029117,-0.114091
557.090924,-176.700913,20.019608,-0.117781
560.693772,-171.869886,20.041853,-0.121661
564.257435,-167.009748,20.098577,-0.125716
567.768580,-162.112082,20.170610,-0.129928
571.222819,-157.174974,20.232352,-0.134281
574.606348,-152.190084,20.263029,-0.138760
577.910660,-147.152616,20.258188,-0.143352
581.143038,-142.067629,20.238477,-0.148045
584.304639,-136.936535,20.230881,-0.152821
587.396020,-131.760914,20.262714,-0.157651
590.404353,-126.536740,20.331401,-0.162484
593.289859,-121.246973,20.412250,-0.167257
596.015093,-115.876251,20.471991,-0.171901
598.557358,-110.416571,20.492788,-0.175632
599.745755,-107.620511,20.459553,-0.178509
602.063560,-102.055074,20.437649,-0.182636
604.284511,-96.448514,20.424557,-0.186554
