x,y,0.2997828053163403,-1.570999999999999897e-01
255.20497319966358,400.84546095744827,0.2997828351402063,-0.1571
254.655210882116,400.9173639053428,0.2997828675910341,-0.1571
254.655210882116,400.9173639053428,0.2997829018205493,-0.1571
253.7902922076535,401.02565082989713,0.2997829420597213,-0.1571
253.1675612314897,401.103616104812,0.2997829818915534,-0.1571
253.1675612314897,401.103616104812,0.2997830276734703,-0.1571
252.35754140889972,401.2005442750261,0.299783072001901,-0.1571
251.67891757930232,401.2817494063478,0.2997831233851116,-0.1571
251.67891757930232,401.2817494063478,0.2997831759481641,-0.1571
250.90693620936537,401.3698917001635,0.2997832318445717,-0.1571
250.1893318253684,401.4518254085675,0.2997832915593221,-0.1571
250.1893318253684,401.4518254085675,0.299783350690916,-0.1571
249.43885072310928,401.5334358638871,0.2997834171004001,-0.1571
248.69885486924392,401.6139061094226,0.299783482956002,-0.1571
248.69885486924392,401.6139061094226,0.2997835538275808,-0.1571
247.95373865754823,401.6909236927242,0.2997836266753211,-0.1571
247.2075366102934,401.7680535114454,0.2997837021969758,-0.1571
247.2075366102934,401.7680535114454,0.2997837792614177,-0.1571
246.45204647901227,401.84211652152,0.2997838603992591,-0.1571
245.7154256497799,401.9143297161571,0.2997839460868476,-0.1571
245.7154256497799,401.9143297161571,0.2997840314824316,-0.1571
244.9342002758318,401.98679093959134,0.2997841234789007,-0.1571
244.22256968842527,402.05279701762754,0.299784215318823,-0.1571
244.22256968842527,402.05279701762754,0.2997843103379409,-0.1571
243.4006468339903,402.1247344258997,0.2997844100995053,-0.1571
242.72901552286183,402.1835178209304,0.2997845103587906,-0.1571
242.72901552286183,402.1835178209304,0.2997846141979607,-0.1571
241.85189906894502,402.25574164991383,0.2997847220269705,-0.1571
241.23480865653056,402.30655432389176,0.2997848313891609,-0.1571
241.23480865653056,402.30655432389176,0.2997849439474862,-0.1571
240.28832394152172,402.37963262876167,0.2997850589427457,-0.1571
239.7399937874337,402.4219693274261,0.2997851762405048,-0.1571
239.6708768263533,402.4269544606304,0.299785298116376,-0.1571
238.71049109338526,402.49622328743493,0.2997854220386102,-0.1571
238.24461441531335,402.5298251307546,0.2997855485543823,-0.1571
238.07439973825808,402.5412447529096,0.2997856779363701,-0.1571
237.11877790084674,402.60535696987637,0.2997858101780366,-0.1571
236.74871324371944,402.6301844326453,0.2997859434623251,-0.1571
236.46426730915292,402.64784858626734,0.2997860816683442,-0.1571
