x,y,z,bank_angle
457.904812,141.942928,0.000000,-0.000000
458.427036,148.747269,0.000000,-0.000000
458.727343,155.446981,0.000000,-0.000000
458.814948,162.040263,0.000000,-0.000000
458.699067,168.525310,0.000000,-0.000000
458.388912,174.900320,0.000000,-0.000000
457.893700,181.163491,0.000000,-0.000000
457.222644,187.313019,0.000000,-0.000000
456.553576,192.363545,0.000000,-0.000000
455.752025,197.318000,0.000000,-0.000000
454.825633,202.174807,0.000000,-0.000000
453.613423,207.915945,0.000000,-0.000000
452.266720,213.535104,0.000000,-0.000000
450.794739,219.030481,0.000000,-0.000000
449.206695,224.400273,0.000000,-0.000000
447.511801,229.642678,0.000000,-0.000000
445.719273,234.755892,0.000000,-0.000000
443.838326,239.738112,0.000000,-0.000000
441.878173,244.587537,0.000000,-0.000000
439.848031,249.302362,0.000000,-0.000000
437.757112,253.880785,0.000000,-0.000000
435.614632,258.321004,0.000000,-0.000000
433.429805,262.621215,0.000000,-0.000000
431.211847,266.779615,0.000000,-0.000000
428.969971,270.794403,0.000000,-0.000000
426.713393,274.663774,0.000000,-0.000000
424.451327,278.385926,0.000000,-0.000000
422.192987,281.959056,0.000000,-0.000000
419.947588,285.381362,0.000000,-0.000000
417.724346,288.651040,0.000000,-0.000000
415.532473,291.766287,0.000000,-0.000000
413.381186,294.725302,0.000000,-0.000000
411.279699,297.526280,0.000000,-0.000000
409.237226,300.167419,0.000000,-0.000000
407.262982,302.646917,0.000000,-0.000000
405.366181,304.962970,0.000000,-0.000000
403.556039,307.113775,0.000000,-0.000000
402.099395,308.807938,0.000000,-0.000000
399.480186,311.713009,0.000000,-0.000000
395.979093,315.461275,0.000000,-0.000000
391.301437,320.330175,0.000000,-0.000000
386.932670,324.640494,0.000000,-0.000000
382.558716,328.750569,0.000000,-0.000000
378.913938,332.049972,0.000000,-0.000000
375.265620,335.191766,0.000000,-0.000000
371.614550,338.180032,0.000000,-0.000000
367.228044,341.634344,0.000000,-0.000000
362.840496,344.910788,0.000000,-0.000000
358.452790,348.014431,0.000000,-0.000000
354.065815,350.950340,0.000000,-0.000000
349.680456,353.723582,0.000000,-0.000000
345.297600,356.339224,0.000000,-0.000000
340.918132,358.802333,0.000000,-0.000000
336.542940,361.117975,0.000000,-0.000000
332.172909,363.291219,0.000000,-0.000000
327.808927,365.327130,0.000000,-0.000000
323.451878,367.230777,0.000000,-0.000000
319.102650,369.007225,0.000000,-0.000000
314.762129,370.661542,0.000000,-0.000000
310.431201,372.198794,0.000000,-0.000000
306.110752,373.624050,0.000000,-0.000000
301.801669,374.942375,0.000000,-0.000000
297.504839,376.158838,0.000000,-0.000000
293.221147,377.278504,0.000000,-0.000000
288.951480,378.306440,0.000000,-0.000000
284.696724,379.247715,0.000000,-0.000000
280.457765,380.107394,0.000000,-0.000000
276.235491,380.890545,0.000000,-0.000000
272.734678,381.494655,0.000000,-0.000000
268.461257,382.151380,0.000000,-0.000000
263.284846,382.852931,0.000000,-0.000000
256.491103,383.680143,0.000000,-0.000000
249.641821,384.371299,0.000000,-0.000000
242.934711,384.906346,0.000000,-0.000000
237.497769,385.251023,0.000000,-0.000000
232.239361,385.476245,0.000000,-0.000000
227.159758,385.591511,0.000000,-0.000000
221.208627,385.641709,0.000000,-0.000000
215.477599,385.577158,0.000000,-0.000000
209.966393,385.409591,0.000000,-0.000000
204.674731,385.150741,0.000000,-0.000000
199.602334,384.812343,0.000000,-0.000000
194.748921,384.406130,0.000000,-0.000000
190.114216,383.943834,0.000000,-0.000000
185.697937,383.437191,0.000000,-0.000000
181.499806,382.897932,0.000000,-0.000000
177.519544,382.337792,0.000000,-0.000000
173.756872,381.768504,0.000000,-0.000000
170.211510,381.201802,0.000000,-0.000000
166.883180,380.649419,0.000000,-0.000000
163.771603,380.123088,0.000000,-0.000000
160.782070,379.617758,0.000000,-0.000000
157.780620,379.114776,0.000000,-0.000000
154.650133,378.593531,0.000000,-0.000000
151.367396,378.046122,0.000000,-0.000000
147.947929,377.474174,0.000000,-0.000000
144.389882,376.877194,0.000000,-0.000000
140.691408,376.254691,0.000000,-0.000000
136.850656,375.606173,0.000000,-0.000000
132.865779,374.931148,0.000000,-0.000000
128.734928,374.229124,0.000000,-0.000000
124.456255,373.499610,0.000000,-0.000000
120.027909,372.742113,0.000000,-0.000000
115.448043,371.956141,0.000000,-0.000000
110.714807,371.141203,0.000000,-0.000000
105.826354,370.296807,0.000000,-0.000000
100.780833,369.422461,0.000000,-0.000000
95.576398,368.517673,0.000000,-0.000000
90.211197,367.581951,0.000000,-0.000000
84.683384,366.614804,0.000000,-0.000000
78.991109,365.615739,0.000000,-0.000000
73.132524,364.584264,0.000000,-0.000000
67.105779,363.519889,0.000000,-0.000000
60.909026,362.422120,0.000000,-0.000000
54.540416,361.290466,0.000000,-0.000000
47.998101,360.124435,0.000000,-0.000000
41.280231,358.923535,0.000000,-0.000000
34.590022,357.722377,0.000000,-0.000000
28.305724,356.569286,0.000000,-0.000000
22.497352,355.452806,0.000000,-0.000000
17.030585,354.326834,0.000000,-0.000000
11.596796,353.132004,0.000000,-0.000000
6.196318,351.869188,0.000000,-0.000000
0.829486,350.539257,0.000000,-0.000000
-4.503365,349.143083,0.000000,-0.000000
